Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Alcance Spotify / Relación Seguidores,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
612801,ROSALÍA,España,She/Her,Artistas solistas,SME (Columbia Records),"Latin Pop, Electronic, Latin Dance, Latin",Superstar,Decline,8127231,24753783,0.328323,,75,242518261,648580
214045,Bad Gyal,España,She/Her,Artistas solistas,UMG (Interscope),"Latin Hip-Hop/Rap, Latin Dance, R&B/Soul, Latin",Superstar,Steady,1624896,13002795,0.124965,,72,100691224,160716
776401,Aitana,España,She/Her,Artistas solistas,"Hollywood Records, UMG (Universal Music Spain)","Latin Pop, Latin",Superstar,Steady,2977107,11415665,0.260791,,71,83072793,202939
1123831,Lola Indigo,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Superstar,Steady,1204234,7930530,0.151848,,68,62431810,139449
188735,Rocío Dúrcal,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin",Legendary,Explosive Growth,4372705,7903355,0.553272,,67,42571322,71138
1576173,Lia Kali,España,She/Her,Artistas solistas,Propaganda Pel Fet!,"Hip-Hop/Rap, Pop, R&B/Soul",Mid-Level,Growth,134949,7238157,0.018644,,66,22087121,18120
207839,Ana Mena,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin Hip-Hop/Rap, Latin",Mainstream,Growth,855939,6388987,0.133971,,66,57542413,120800
201356,Marta Sánchez,España,She/Her,Artistas solistas,"Woman Music, Virtual Beat Studios","Latin Pop, Latin",Mainstream,Explosive Growth,446944,6126089,0.072957,,60,49326740,71411
209585,Rozalén,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Singer/Songwriter, Latin Folk, Latin",Mainstream,Growth,832741,3744218,0.222407,,61,26147796,67900
207598,India Martinez,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin",Mainstream,Growth,953292,3678904,0.259124,,61,29639658,56969
508881,Melody,España,She/Her,Artistas solistas,Melody,"Latin Pop, R&B/Soul, Latin Hip-Hop/Rap, Latin",Mainstream,Decline,372063,3386826,0.109856,,58,27704859,42168
142070,Jeanette,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin",Mainstream,Growth,442873,2993904,0.147925,,56,17544650,67384
207037,Vanesa Martín,España,She/Her,Artistas solistas,WMG (Warner Music Spain),"Latin Pop, Latin",Mainstream,Growth,1131822,2769681,0.408647,,61,23617235,46293
688,Rosana,España,She/Her,Artistas solistas,"Venex Records Estudio de Grabación, C.A., Symon","Latin Pop, Latin",Mainstream,Growth,853366,2728016,0.312816,,56,19944160,52432
51682,Natalia Jiménez,España,She/Her,Artistas solistas,SME (Sony Music Latin),"Latin Pop, Holiday, Latin Rock, Latin",Mainstream,Steady,960145,2638875,0.363846,,59,19872231,64321
209594,Malú,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin",Mainstream,Steady,1665681,2613991,0.637218,,58,18646661,39547
11888,Rosario,España,She/Her,Artistas solistas,Picaflor Latin Music,"Latin Pop, Latin",Mainstream,Growth,762443,2563698,0.2974,,57,19534184,63904
447772,La Húngara,España,She/Her,Artistas solistas,Adriático Records,"Latin Pop, Latin",Mainstream,Growth,332857,2555304,0.130261,,56,17552059,88475
211176,Ana Torroja,España,She/Her,Artistas solistas,OCESA Seitrack,"Latin Pop, Latin",Mainstream,Growth,728398,2530460,0.287852,,55,25537548,49229
212499,Niña Pastori,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Flamenco, Singer/Songwriter, Latin",Mainstream,Steady,783022,2386020,0.328171,,56,15501648,46551
3495635,Ptazeta,España,She/Her,Artistas solistas,UMG (Interscope),"Latin Hip-Hop/Rap, Electronic, Latin Pop, Latin",Mainstream,Decline,170577,2342189,0.072828,,55,19547118,94563
169489,Bebe,España,She/Her,Artistas solistas,"CEO Culture, WMG (Warner Music Spain)","Latin Pop, Latin Rock, Christian, Latin",Mainstream,Growth,456045,1956611,0.233079,,54,12559550,75281
1700717,Vicco,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin Hip-Hop/Rap, Latin",Mainstream,Decline,92170,1806993,0.051007,,55,11161081,27229
68069,Monica Naranjo,España,She/Her,Artistas solistas,Missis Oranges Productions S. L.,"Latin Pop, Latin",Mainstream,Growth,794496,1481399,0.536315,,55,11793229,28064
1333915,Natalia Lacunza,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Mainstream,Steady,225206,1350059,0.166812,,52,9590848,58243
497960,Rita Payés,España,She/Her,Artistas solistas,SME (Sony Music Entertainment),"Jazz, Rock, Big Band",Mainstream,Growth,134581,1348553,0.099797,,51,10166061,42187
35768,Conchita,España,She/Her,Artistas solistas,Altafonte,"Latin Pop, Latin",Mid-Level,Steady,198231,1317362,0.150476,,51,4213242,21747
22247,Isabel Pantoja,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin",Mainstream,Growth,1000461,1314300,0.761212,,52,11413878,18501
1561093,Babi,España,She/Her,Artistas solistas,Babi,"Hip-Hop/Rap, R&B/Soul, Pop",Mainstream,Growth,608781,1110389,0.548259,,58,4165857,42649
321419,Ana Belén,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin",Mid-Level,Growth,457934,1103575,0.414955,,50,9668694,31476
318238,Nena Daconte,España,She/Her,,Subterfuge Records,"Latin Pop, Alternative, Indie Pop, Latin",Mid-Level,Steady,163299,1102410,0.148129,,49,5577603,23361
283474,Melody,España,She/Her,Artistas solistas,Rumbera Record,"Latin Pop, Latin Dance, R&B/Soul, Latin",Mid-Level,Steady,33562,905629,0.037059,,45,6460333,19556
3655492,Judeline,España,She/Her,Artistas solistas,"UMG (Interscope), Judeline","R&B/Soul, Latin Pop, Latin Hip-Hop/Rap, Latin",Mid-Level,Steady,67230,897270,0.074927,,52,5388429,22205
86502,Luz Casal,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Mid-Level,Growth,355623,788223,0.451171,,49,1630734,9452
217362,Zahara,España,She/Her,Artistas solistas,G.O.Z.Z. Records,"Latin Pop, Latin Rock, Alternative, Latin",Mid-Level,Steady,233433,788123,0.296189,,48,7745596,41812
434417,Pastora Soler,España,She/Her,Artistas solistas,WMG (Warner Music Spain),"Latin Pop, Latin",Mid-Level,Steady,401338,764845,0.524731,,47,3995924,16080
3880118,Carmen DeLeon,España,She/Her,Artistas solistas,"CDL Records, UMG (Capitol Records)","Latin Pop, Soundtracks, Latin",Mid-Level,Steady,42441,758820,0.05593,,47,3832050,10907
210676,Arca,España,She/It,Artistas solistas,XL Recordings,"Electronic, Hip-Hop/Rap, Pop",Mainstream,Steady,540495,753899,0.716933,,56,17293108,79371
420561,Sofia Ellar,España,She/Her,Artistas solistas,NOTA EN DO SL,"Latin Pop, Latin",Mid-Level,Steady,141408,728029,0.194234,,47,4852329,21443
161915,Diana Navarro,España,She/Her,Artistas solistas,No Te Olvides de Mi,"Latin Pop, Latin Rock, Latin Classical, Latin",Mid-Level,Steady,104940,652250,0.160889,,44,3450338,12157
320269,Amaia Montero,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin",Mainstream,Steady,1229768,648282,1.896965,,55,17907463,39334
178021,ELE,España,She/Her,Artistas solistas,Elegz,"R&B/Soul, Pop, Alternative",Developing,Growth,10461,604289,0.017311,,43,3134318,10959
668303,Belén Aguilera,España,She/Her,Grupo,"Belén Aguilera, Belén Aguilera distributed by Altafonte","Pop, Singer/Songwriter, Dance",Mid-Level,Steady,127181,577884,0.220081,,50,2806900,22037
208823,Zaira,España,She/Her,Artistas solistas,Ophion Agency,"Pop, Flamenco, House",Mid-Level,Steady,26166,573257,0.045644,,47,1719427,10033
8169998,Isabel Aaiún,España,She/Her,Artistas solistas,Níquel Records,"Latin Pop, Flamenco, Singer/Songwriter, Latin",Developing,Steady,5909,561933,0.010515,,48,309492,950
648742,Lennis Rodriguez,España,She/Her,,Pura Vibra,"Latin Pop, Latin Dance, Latin, Electronic",Mid-Level,Steady,61103,557075,0.109685,,42,5500041,35959
